Ааронов	aaron
биосфера	biosphere
биоток	biological currents
биотрон	biotron
биофизик	biophysicist
биофизика	biophysics
биофизический	biophysical
биохимик	biochemist
биохимический	biochemical
биохимия	biochemistry
биоценоз	biocoenosis
биоценология	biocoenology
биоцикл	biocycle
биоэлектрический	bioelectric
биплан	biplane
биполярность	bipolarity
биполярный	bipolar
бирдекель	beer coaster
биржа	exchange,bourse
биржевик	stockjobber,stockbroker
биржевой	adjective of биржа
бирка	tally,name-plate,label,tag
бирманец	burmese,burman,the burmese
бирманка	burmese,burman,the burmese
бирманский	burmese,burman
бирюза	turquoise
бирюзовый	turquoise
бирюк	lone wolf,unsociable person
бирюльки	spillikins
бис	encore
бисер	beads
бисерина	bead
бисеринка	bead
бисерный	very small,minute
бисировать	repeat,play an encore,sing an encore
бисквит	sponge-cake,biscuit
бисквитный	sponge
биссектриса	bisector
бистро	bistro
бисульфат	bisulphate
бит	beat
бита	bat
битва	battle
битки	round rissoles,meatballs
битник	beatnik
битум	bitumen
битуминозный	bituminous
бить	to beat,hit,strike,to chime,to clap
биться	fight,knock,hit,strike,beat
битюг	bityug,strong man
бифуркация	bifurcation
бифштекс	steak
бицепс	biceps
бич	whip,lash,scourge
бичевание	flagellation,flogging,castigation
бичевать	flagellate,scourge,lash,castigate
бишь	now
благо	blessing,boon,good,since
благоверный	better half
благовест	church bells
благовестить	ring for church,publish,spread,noise abroad
благовещение	lady day,annunciation
благовидный	comely,specious,plausible
благоволение	goodwill,kindness
благоволить	favour,regard with favour,be favourable disposed,have the kindness,kindly
благовоние	fragrance,aroma,perfume,incense
благовонный	fragrant,perfumed,aromatic
благовоспитанно	politely courteously
благовоспитанность	good breeding,good manners
благовоспитанный	well-bred,well brought up
благоглупость	high-sounding nonsense,pompous triviality
благоговейный	awesome,reverential
благоговение	awe,reverence,veneration
благоговеть	revere,hold in reverence,regard with reverence,venerate
благодарить	thank
благодарность	gratitude,thanks
благодарный	grateful,thankful,gratifying
благодарственный	expressing thanks,thanksgiving
благодаря	thanks to,owing to,because of
благодатный	beneficial,abundant
благодать	plenty,abundance,paradise,grace
благоденствие	prosperity
благоденствовать	prosper,flourish,be in clover
благодетель	benefactor
благодетельница	benefactress
благодетельный	beneficial,beneficent
благодетельствовать	be a benefactor
благодеяние	good deed,boon
благодушествовать	peacefully enjoy oneself,take it easy
благодушие	kindliness,placidity,mildness of temper,good humour
благодушный	complacent,placid,equable,good-humoured,kindly
благожелательно	with kindness,favourably
благожелательность	kindness,benevolence,goodwill
благожелательный	kind well-disposed,benevolent,kindly disposed
благозвучие	harmony,euphony
благозвучность	harmony,euphony
благозвучный	harmonious,melodious,euphonious,euphonic
благой	good
благолепие	splendour,grandeur
благонадёжность	trustworthiness,reliability,loyalty
благонадёжный	trustworthy,reliable,loyal
благонамеренность	loyalty
благонамеренный	loyal,loyalist
благонравие	good conduct,good behaviour
благонравный	well-behaved
благообразие	good looks,noble appearance
благообразный	handsome,fine-looking
благополучие	prosperity,well-being,happiness
благополучно	all right,well,happily
благополучный	happy,successful,safe
благоприобретённый	acquired
благопристойность	decency,decorum,seemliness
благопристойный	decent,decorous,seemly
благоприятный	favourable,propitious,auspicious
благоприятствовать	favour,be favourable
благоразумие	sense,wisdom,prudence
благоразумный	reasonable,sensible,judicious,wise,prudent
благорасположение	favour,favourable disposition
благорасположенный	favourable
благородно	nobly
благородный	noble
благородство	nobility,nobleness,generosity
благосклонно	with favour,favourably
благосклонность	benevolence,favour,goodwill
благосклонный	favourable,benevolent,gracious
благословение	blessing,benediction
благословенный	blessed
благословить	bless
благословлять	bless
благосостояние	welfare,well-being,prosperity
благостный	mellow,soft and pleasing
благотворитель	philanthropist,do-gooder
благотворительность	charity,philanthropy
благотворительный	charitable,philanthropic
благотворно	beneficially
благотворность	wholesomeness,salutariness,salubrity
благотворный	beneficial,salutary,wholesome
благоусмотрение	consideration,discretion
благоустраивать	equip with modern amenities
благоустроенный	comfortable,well organized,well-equipped
благоустройство	equipping with services and utilities,improvement
благоухание	fragrance,perfume,sweet smell
благоуханный	fragrant,perfumed,aromatic,sweet-smelling
благоухать	be fragrant,smell sweet
благочестивый	pious,devout
благочестие	piety
благочинный	decent,decorous,rural dean
блаженный	blissful,blessed
блаженство	bliss,beatitude,felicity
блаженствовать	be in bliss,be in a state of bliss,be blissfully happy
блажить	be capricious,indulge whims,be eccentric
блажной	capricious,eccentric,unbalanced
блажь	caprice,whim,whimsy
бланк	form
бланшировать	blanch
блат	protection,pull,a friend at court
блатной	criminal
блевать	vomit,puke
блевота	vomit
бледнеть	pale,pule
бледно-жёлтый	pale yellow
бледно-зелёный	pale green
бледнолицый	with a pale face
бледность	pallor,paleness,insipidity,colourlessness
бледный	pale,pallid,wan,insipid,colourless
бленнорея	blennorrhoea
блеск	lustre,brilliance,brilliancy,magnificence,gorgeousness
блесна	spoon-bait
блеснуть	flash,make a brilliant display
блестеть	shine,glitter,sparkle
блестяще	brilliantly
блестящий	shining,bright,brilliant
блеф	bluff
блеяние	bleat
блеять	bleat
ближайший	nearest,closest,next
ближе	nearer,closer,more intimate
ближневосточный	near-eastern
ближний	near,neighbouring
близ	near,close to
близиться	draw near,approach
близкий	near,close
близко	near,close by,nearly
близлежащий	neighbouring,nearby
близнец	twin
близорукий	near-sighted,short-sighted,myopic
близорукость	myopia,short-sightedness,lack of foresight
близость	nearness,closeness,proximity,propinquity,intimacy
блик	highlight
блин	pancake
блиндаж	shelter,dug-out
блиндировать	blind
блинный	bliny bar,pancake house
блинчатый	pancake
блинчик	pancake,fritter
блистательный	brilliant,resplendent,splendid
блистать	shine,be conspicuous
блицтурнир	lightning tournament
блог	blog
блок	bloc,pulley,block,prefabricated building unit
блок-аппарат	signal-box
блок-участок	block section
блокада	blockade,siege
блокировать	blockade,block
блокироваться	form a bloc,form an alliance
блокировка	block,freeze
блокировочный	block
блокнот	note-book,writing-pad
блокпост	blockhouse,block station
блондин	blonde
блондинка	blonde
блоха	flea
блочный	sectional,panel
блошки	tiddly-winks
блуд	lechery,fornication
блудить	lecher,fornicate
блудливость	lasciviousness
блудливый	lascivious,lecherous,mischievous,thievish
блудница	loose woman,whore
блуждание	roaming,wandering
блуждать	roam,wander,rove,ramble
блуждающий	wandering,roaming
блуза	blouse,smock
блузка	blouse
блюдечко	saucer,jam dish
блюдо	cuisine,food,dish,course
блюдолиз	toady,lickspittle
блюдце	saucer
блюз	blues
блюминг	blooming
блюсти	guard,keep
блюститель	keeper,guardian
блядь	fuck
блямба	hump,lump,knob
бляха	name-plate,number-plate,badge,pendant
блёклый	faded
блёкнуть	fade,wither
блёстки	sparkles,sparklets,flashes,spangles
боа	boa
боб	bean,beans
бобина	bobbin
бобковый	bay
бобовый	leguminous,leguminous plants
бобр	beaver
бобрик	castor
бобровый	adjective of бобёр
бобслей	bob-sled,bob-sleigh
бобыль	poor landless peasant,bachelor
бобышка	boss
бобёр	beaver
бог	god
богадельня	almshouse
богара	dry-farming land
богатеть	grow rich
богатство	riches,wealth,richness,resplendence,gorgeousness
богатый	rich,wealthy,rich man,the rich
богатырский	herculean,athletic
богатырь	bogatyr,hercules,athlete
богач	rich man,the rich,the wealthy
богаче	richer
богдыхан	chinese emperor
богема	bohemia,bohemianism
богиня	goddess
богоборец	theomachist
богобоязненный	god-fearing
богомаз	icon-dauber
богомолец	pilgrim
богомолка	mantis
богомолье	pilgrimage
богомольный	devout
богоотступник	apostate
богоотступничество	apostasy
богослов	theologian,divine
богословие	theology,divinity
богословский	theological
богослужение	divine service,public worship
богоспасаемый	blessed
боготворить	deify,idolize,worship
богоугодный	pleasing to god
богохульник	blasphemer
богохульный	blasphemous
богохульство	blasphemy
богохульствовать	blaspheme
богоявление	epiphany,twelfth-day
бодать	butt
бодаться	butt,butt each other
бодливый	given to butting,apt to butt
боднуть	butt,give a butt
бодрить	stimulate,invigorate
бодриться	wake up,get some energy
бодро	cheerfully,briskly
бодрость	cheerfulness,courage
бодрствовать	be awake,keep awake,keep vigil
бодрствующий	awake
бодрый	cheerful,brisk,fresh
бодрящий	bracing,invigorating
бодяга	freshwater sponge,nonsense,rot
боевик	hit,action movie
боевитость	perkiness
боевитый	perky,lively
боевой	fighting,martial,bellicose,militant,war
боеголовка	war-head
боезапас	ammunition
боезаряд	military load
боепитание	munitions supply
боеприпас	ammunition,munition,ordanence
боеприпасы	ammunition
боеспособный	efficient
боец	fighting-man,fighter,man,private,butcher
божба	swearing
боже	my god,god
божеский	divine,fair,just
божественный	divine
божество	deity,divine being,idol
божий	god's,divine,holy
божиться	swear
божница	icon-case
божок	idol,tin god
бозон	boson
бой	beating,breakage,battle,combat,engagement
бой-девка	energetic headstrong girl
бойкий	smart,sharp,pert,forward,ready
бойко	smartly
бойкость	smartness,glibness,fluency,facility,readiness
бойкот	boycott
бойкотировать	boycott
бойлер	boiler
бойлерная	boiler-room,boiler-house
бойница	loop-hole,gun-slot
бойня	slaughter-house,shambles,abattoir,carnage,massacre
бойскаут	scout
бок	side,flank
бокал	glass (of wine),goblet
боковой	lateral
боком	sideways
бокс	boxing,pugilism,boxer cut,short back and sides,box
боксировать	box
боксит	bauxite
боксёр	boxer,pugilist
боксёрский	adjective of боксёр
болван	blockhead,clot,dim-wit,block,dummy
болванка	pig,blank
болгарин	bulgarian
болгария	bulgaria
болгарка	bulgarian
болгарский	bulgarian
болевой	painful
более	more
более-менее	more or less
болезненно	painfully,badly,oversensitively
болезненность	sickliness,morbidness,painfulness
болезненный	painful
болезнетворный	pathogenic,morbific
болезнь	illness
болельщик	fan,supporter
болеро	bolero
болеть	be ill,be sick,be painful
болеутоляющий	painkiller
боливиец	bolivian
боливийка	bolivian
боливийский	bolivian
болид	fire-ball,bolide
болит	sore
болонка	lap-dog
болонья	light nylon waterproof cloth,light nylon raincoat
болотистый	boggy,marshy,swampy
болотный	marsh
болото	swamp,bog,marsh,mire,slough
болт	bolt
болтанка	rough air,bumpy air,bumps
болтать	chat,stir
болтаться	dangle,hang loosely,hang about,lounge,loaf
болтливость	garrulity,talkativeness,indiscretion
болтливый	garrulous,talkative,indiscreet,blabbing
болтовня	talk,chatter,jabber,twaddle,tittle-tattle
болтун	talker,chatterer,gas-bag,windbag,chatterbox
болтунья	scrambled eggs
болтушка	mash
боль	pain,pang,stab
больная	patient
больница	hospital
больничный	adjective of больница
больно	it is painful,badly,hard,very,mighty
больной	patient,sick person,invalid,sick,diseased
большак	highroad,main road,head of the family
больше	bigger,larger,greater,more
большевик	bolshevik
большевистский	bolshevist,bolshevik
большеголовый	with a large head,macrocephalous
большегрузный	heavy,heavy-load
больший	greater
большинство	most of the
большой	big,large,great,important,grown-up
большуха	mistress
большущий	tremendous,huge
болячка	sore,scab,defect,weak spot
болящий	patient,invalid,sufferer
бомба	bomb
бомбардир	bombardier,bomb-aimer,air bomber,goal-scorer
бомбардирование	bombardment
бомбардировать	bombard,bomb
бомбардировка	bombardment,bombing
бомбардировочный	bombing,bombardment
бомбардировщик	bomber,bomber pilot
бомбить	bomb,blitz
бомбовоз	bomber
бомбодержатель	bomb-rack
бомбометание	bombing,bomb-dropping,bomb-release
бомбомёт	bomb-thrower
бомбоубежище	air-raid shelter,bomb-proof shelter,bomb shelter
бомбёжка	bombing
бомж	homeless person,tramp
бонбоньерка	bonbonniere
бондарня	cooperage
бондарь	cooper
бонза	bonze,bigwig
бонна	nursery-governess
боны	cheques,vouchers,tokens,paper-money,boom
бор	coniferous forest,boron,steel drill
боргес	bourgeois
бордо	claret,bordeaux,wine-coloured
бордовый	maroon
бордюр	border
борец	champion,fighter,wrestler
боржоми	borzhomi
борзая	borzoi,russian wolfhound
борзой	borzoi,russian wolfhound
борзописец	hack writer
бормашина	drill
бормотание	mutter,mumble,mumbling
бормотать	mutter,mumble
борный	boracic,boric
боров	hog,obese man,horizontal flue
боровик	boletus
борода	beard below chin
бородавка	wart
бородавчатый	warty
бородатый	bearded
бородач	bearded man,greybeard,beard grass,bearded vulture
бородка	small beard,tuft,bit
борозда	furrow,fissure
бороздить	furrow
бороздка	furrow,groove
борона	harrow
боронование	harrowing
бороновать	harrow
бороться	fight,struggle,contend,strive,combat
борт	aboard,side,coat-breast,lapel,cushion
бортжурнал	aircraft log-book,record book
бортинженер	flight engineer
бортмеханик	flight engineer
бортник	wild-hive beekeeper
бортничество	wild-hive beekeeping
бортовой	adjective of борт
бортпроводник	air steward
бортпроводница	stewardess,air hostess
бортрадист	radio operator on aircraft
борщ	borscht
борьба	struggle,fight,conflict,combat,wrestling
босиком	barefoot
босниец	bosnian
боснийка	bosnian
боснийский	bosnian
босой	barefooted,bare
босоногий	barefooted
босоножка	barefooted girl,barefoot dancer
босоножки	sandals,open-toe sandals,mules
босс	boss,master
бостоновый	boston
босяк	down-and-out,tramp
бот	boat
ботаник	botanist,nerd
ботаника	botany
ботанический	botanical
ботва	leafy tops of root vegetables,beet tops
ботвинья	botvinia
ботики	high overshoes,high galoshes
ботинок	boot,shoe
ботиночек	kids shoes,baby shoes
ботфорты	jackboots,hessian boots
боты	high overshoes,high galoshes
боулинг	bowling (game),bowling alley
боцман	boatswain
бочар	cooper
бочка	barrel,cask,tun,roll
бочком	sideways,sidewise
бочок	flank
бочонок	keg
боязливость	timidity,timorousness
боязливый	timid,timorous
боязнь	dread,fear
боярин	boyar
боярский	boyar
боярыня	boyarynia
боярышник	hawthorn,haw
боярышня	boyaryshnia
бояться	be afraid,dread,fear
боёк	firing-pin
бра	sconce,lamp-bracket
бравада	bravado
бравировать	flaunt,defy,brave,show off,put on a show of bravado
браво	bravo
бравурный	bravura
бравый	gallant,dashing
брага	home-brewed beer
брадобрей	barber
бражничать	carouse,revel,drink
бразда	reign (horse)
бразилец	brazilian
бразильский	brazilian
бразильянка	brazilian woman
брак	marriage,matrimony,wedlock,flaw,defect
бракераж	certification,inspection,quality control
бракованный	defective,rejected,cast
браковать	reject as defective,reject
браковка	rejection of defective articles,sorting out of articles,quality control
браковщик	sorter
браковщица	sorter
бракодел	bungler,slipshod worker
браконьер	poacher
браконьерство	poaching
бракоразводный	divorce
бракосочетание	marriage,wedding,nuptials
брам-рей	topgallant yard
брам-стеньга	topgallant
брамин	brahmin
брамсель	topgallant sail
брандахлыст	wish-wash,swipes
брандвахта	guard-ship
брандер	fire-ship
брандмайор	head of the firebrigades,fire-service chief
брандмауэр	firewall
брандмейстер	firebrigade chief
брандспойт	fire-pump,nozzle
бранить	scold,reprove,rebuke,abuse,curse
браниться	quarrel,abuse one another,abuse each other,swear
бранный	abusive,martial
бранчливый	quarrelsome
брань	swearing,bad language,abuse,invective
брас	brace
браслет	bracelet,bangle
браслетка	bracelet,bangle
брасовать	brace,haul in the braces
брасс	breast-stroke
брат	brother
братание	fraternization
брататься	fraternize
братва	mates,chaps,lads
братец	brother,my boy
братина	winebowl
братишка	little brother
братия	community,brotherhood,fraternity
браток	brother
братоубийственный	fratricidal
братоубийство	fratricide
братоубийца	fratricide
братски	fraternally,like a brother,like brothers
братский	brotherly,fraternal
братство	brotherhood,fraternity,community
брать	take
браться	undertake,begin,start,take up,touch
братья-близнецы	twin brothers
браунинг	browning
брахицефал	brachycephal
брахман	brahman
брахманизм	brahmanism
брачный	marriage,conjugal
брашпиль	windlass
бревенчатый	made of logs
бревно	log,beam,dullard,numskull,balance beam
бред	delirium,gibberish
бредень	drag-net
бредить	be delirious,rave,be mad,be infatuated
бредни	ravings,nonsense
бредовой	delirious,wild,crazy,fantastic
бредовый	delirious,crazy,insane plan,idea,etc
брезгать	disdain,shrink
брезгливость	fastidiousness,squeamishness,disgust
брезгливый	fastidious,squeamish,finical
брезент	tarpaulin
брезентовый	adjective of брезент
брезжить	dawn,glimmer
брезжиться	dawn,glimmer
брейд-вымпел	broad pennant
брелок	trinket,charm
бремсберг	incline,gravity incline
бремя	burden,load,weight
бренность	perishable nature,frailty
бренный	perishable,transitory,fleeting,frail
бренчать	jingle,chink,strum
брест	brest
брести	wander around
бретель	shoulder-strap
бретелька	shoulder-strap
бретёр	duellist,swashbuckler
брехать	yelp,bark,lie,tell lies
брехнуть	yelp,bark,lie,tell lies
брехня	lies
брехун	liar
брешь	breach,gap,flaw
бриг	brig
бригада	brigade,team,subdivision,crew
бригадир	brigade-leader,team-leader,brigadier
бригадирский	adjective of бригадир
бригадный	brigade-
бригантина	brigantine
бридж	bridge
бриджи	breeches
бриз	breeze
бризантный	high explosive,brisant
брикет	briquette
брикетирование	briquetting
бриллиант	diamond,brilliant
бриллиантовый	adjective of бриллиант
британец	briton,britisher
британский	british
бритва	razor
бритвенный	shaving
бритый	shaven
брить	shave
бриться	shave,have a shave
бритьё	shave,shaving
бричка	britzka
бровка	border,edge,kerb
бровь	eyebrow,brow
брод	ford
бродило	ferment
бродильный	fermenting,fermentative
бродить	ramble,wander,roam,ferment
бродяга	tramp,vagrant,hobo
бродяжничать	be on the road,be a tramp
бродяжничество	vagrancy
бродячий	vagrant
брожение	fermentation,ferment,rumblings
бройлер	broiler
бройлерный	broiler
бром	bromine,bromide
бромат	bromate
бромистый	bromide
бронеавтомобиль	armoured car
бронебашня	armoured turret
бронебойный	armour-piercing
броневик	armoured car
броневой	armoured,ironclad
бронекатер	armoured launch
бронемашина	armoured car
броненосец	battleship,ironclad,armadillo
броненосный	armoured,ironclad
бронепоезд	armoured train
бронесилы	armoured forces
бронетанковый	armoured
бронетранспортёр	armoured troop-carrier
бронза	bronze,bronzes
бронзированный	bronzed
бронзировать	bronze
бронзировка	bronzing
бронзовый	bronzed,tanned
бронирование	reservation
бронировать	reserve,armour
бронхи	bronchial tubes,bronchi
бронхиальный	bronchial
бронхит	bronchitis
бронь	reservation
броня	armour,armour-plating,reservation,reserved quota,railway warrant
бросать	throw,hurl,fling,chuck,throw about
бросаться	throw oneself,rush,throw at each other,disdain
бросить	to throw,to send urgently,to give up,to quit,to leave off
броситься	throw oneself,rush,throw at each other,disdain
броский	garish,loud,gaudy
броском	with one throw
бросовый	worthless
бросок	throw,rush,spurt,lunge,sprint
брошенный	abandoned,deserted
брошка	brooch
брошь	brooch
брошюра	booklet,pamphlet,brochure
брошюровальный	stitching
брошюровать	stitch
брошюровка	stitching
брошюровщик	stitcher
брошюровщица	stitcher
брудершафт	brotherhood,friendship
брус	squared beam,squared timber
брусковый	bar
брусника	cowberries,red whortleberries,mountain cranberries,cowberry,red whortleberry
брусок	whetstone,hone,bar
бруствер	parapet,breastwork
брусчатка	paving stones,paved road
брусчатый	paved
брусья	parallel bars
брутто	gross
бруцеллёз	brucellosis
брыжейка	mesentery
брызгать	splash,spatter,sprinkle
брызгаться	splash,splash each other
брызги	spray,sparks
брызнуть	spurt out
брыкать	kick
брыкаться	kick
брынза	brynza
брысь	scat
брюзга	grumbler
брюзгливый	cantankerous,peevish
брюзжание	grumbling
брюзжать	grumble,be peevish
брюква	swede,rutabaga
брюки	trousers,pants,breeches,plus-fours,knickerbockers
брюнет	brunette,brown hair.
брюнетка	brunette,dark woman,dark girl
брюссельский	brussels
брюхо	belly,paunch,corporation
брюхоногие	gasteropods
брючный	adjective of брюки
брюшина	peritoneum
брюшинный	peritoneal
брюшко	belly,abdomen,paunch
брюшной	abdominal
брякать	bang down,drop,let fall,fling,hurl
брякнуть	bang down,drop,let fall,fling,hurl
бряцание	clang,clank
бряцать	clang,clank
бубен	tambourine
бубенцы	bells
бубенчик	bell,cymbal
бублик	bagel
бубнить	mutter
бубновый	of diamonds
бубны	diamonds
бубон	bubo
бубонный	bubonic
бугай	bull
бугель	stirrup,hoop,bow-collector
бугор	hillock,knoll,mound
бугорок	knob,protuberance,prominence,tubercle
бугорчатка	tuberculosis
бугорчатый	knobbly,tuberculous,tuberous
бугристый	uneven,hilly
буддизм	buddhism
буддийский	buddhist
буддист	buddhist
будильник	alarm clock
будировать	sulk
будить	wake,awake,awaken,arouse,stir up
будка	kennel,box,booth,stall
будни	week-day,working days,workaday routine
будний	everyday
будничность	ordinariness
будничный	workaday,everyday
будоражить	tittilate,disturb,excite
будто	as if,as though
будуар	boudoir
будущее	the future
будущий	future,to be,to come,next
будущность	future
будёновец	budyonovets
будёновка	budyonovka
буер	ice-boat,ice-yacht
буерак	gully
буженина	cold boiled pork
буза	boza,bouza,row
бузина	elder-berry,elder,elder grove,elder bush
бузить	make,kick up,a row
бузотёр	rowdy
буй	buoy
буйвол	buffalo
буйный	violent,turbulent,wild,ungovernable,uproarious
буйство	violence
буйствовать	get violent,behave violently
бук	beech
бука	bogyman,bugbear,bugaboo
букашка	insect
буква	letter
буквализм	over-literal rendering
буквально	literally,word for word
буквальный	literal,word for word
букварь	abc,primer
буквенный	in letters
буквоед	pedant,dryasdust
буквоедство	pedantry
букет	bunch of flowers,posy,bouquet,nosegay
букинист	second-hand bookseller
буклет	pamphlet,booklet
букли	curls
буковый	beechen,beechwood
буколика	bucolics,bucolic literature
буколический	bucolic,pastoral
букса	axle-box,box
буксир	tug,tugboat,tow-boat,tow-line,tow-rope
буксирный	tow
буксировать	tow,tug,have in tow
буксировка	towage,towing
буксование	skidding,slipping,wheel-spin
буксовать	skid,slip
булава	mace,indian club
булавка	pin
булавочный	adjective of булавка
буланый	dun,isabel,isabella
булат	damask steel,sword
булинь	bowline
булка	loaf
булла	bull
булочка	roll
булочная	bakery
булочник	baker
бултых	plop
бултыхаться	flounder about
булыжник	cobble,cobble-stones
булыжный	adjective of булыжник
бульвар	avenue,boulevard
бульварный	adjective of бульвар
бульварщина	gutter press
бульдог	bulldog
бульдозер	bulldozer
бульдозерист	bulldozer operator
бульканье	gurgling
булькать	gurgle
бульон	broth,clear soup
бум	sensation,racket,boom,beam
бумага	paper,document
бумагодержатель	holder of securities,bondholder,paper-clip
бумагомаратель	scribbler
бумагопрядение	cotton-spinning
бумагопрядильня	cotton mill
бумажка	scrap of paper,bit of paper,note,money
бумажник	paper-maker,paper-mill worker,wallet,pocket-book
бумажный	paper,existing only on paper
бумажонка	scrap of paper
бумазея	flannelette
бумеранг	boomerang
бунд	bund
бундестаг	bundestag
бундовец	bundist
бункер	bunker,underground shelter
бункеровать	bunker
бункероваться	coal
бункеровка	bunkering,coaling
бунт	riot,rebellion,mutiny,bale,packet
бунтарский	mutinous,rebellious,seditious
бунтарство	rebelliousness,sedition
бунтарь	rebel,insurgent,mutineer,rioter
бунтовать	rebel,revolt,rise in rebellion,rise in revolt,mutiny
бунтовской	mutinous,rebellious
бунтовщик	rioter,mutineer
бур	bore,drill,boer
бура	borax
бурав	gimlet,auger
буравить	bore,drill
буравчик	gimlet
бурак	beetroot
буран	snowstorm
бурбон	churl,coarse fellow
бургомистр	burgomaster
бурда	dish-water,slops
бурдюк	wineskin,water-skin
бурдючный	kept in a wineskin
буревестник	storm petrel
бурелом	wind-fallen trees
бурение	boring,drilling
буржуа	bourgeois
буржуазия	bourgeoisie
буржуазно-демократический	bourgeois-democratic
буржуазный	bourgeois
буржуй	bourgeois
бурильный	boring
бурильщик	borer,driller,drill-operator
буриме	bouts rimes
бурить	bore,sink,drill
бурка	felt cloak
бурки	felt boots with leather soles
буркнуть	growl out,bark out
бурлак	barge hauler
бурлачить	be a barge hauler
бурлеск	burlesque
бурливый	seething,turbulent
бурлить	whirl,swirl,seethe,boil up
бурный	stormy,rough,heavy,impetuous,rapid
буровая	oil-rig
буровой	boring
бурса	seminary
бурсак	seminarist
бурский	adjective of бур
бурт	clamp
бурун	breaker,surf,bow wave
бурундук	chipmunk
бурчание	muttering,mumbling,grumbling,rumbling,collywobbles
бурчать	mutter,mumble,grumble,rumble,bubble
бурый	brown
бурьян	weeds
буря	storm,tempest,gale
бурят	buryat
бурятка	buryat
бурятский	buryat
бусина	head
бусинка	head
буссоль	surveying compass,director,aiming circle
бусы	beads
бут	rubble,rough-stone
бутан	butane
бутафория	stage-properties,props,dummies,sham,window-dressing
бутафорский	sham,fake,phoney
бутерброд	sandwich
бутик	boutique
бутил	butyl
бутилен	butylene
бутить	fill with rubble
бутовый	rubble
бутон	bud
бутоньерка	buttonhole,posy
бутсы	football boots
бутуз	kiddy,chubby little fellow
бутылка	bottle
бутылочка	small bottle,vial,phial
бутылочный	adjective of бутылка
бутыль	large bottle,carboy,demijohn
буфер	buffer
буферный	adjective of буфер
буфет	sideboard,refreshment room,buffet,canteen,bar
буфетная	pantry
буфетный	adjective of буфет
буфетчик	barman,bartender
буфетчица	barmaid
буфф	buffo
буффонада	slapstick
буханка	loaf of bread
бухарец	bokharan
бухарка	bokharan
бухарский	bokharan
бухать	thump,bang,thunder,thud,let fall with a thud
бухгалтер	book-keeper,accountant
бухгалтерия	book-keeping,accounts department,counting-house
бухгалтерский	book-keeping,account
бухло	booze
бухнуть	swell
бухнуться	fall heavily
бухта	bay,coil
бухточка	cove,creek,inlet
буча	row
бучение	washing in lye
бучить	wash in lye
бушевать	rage,storm
бушель	bushel
бушлат	pea-jacket
бушприт	bowsprit
буян	rowdy,ruffian,brawler
буянить	make a row,an uproar,brawl
буёк	buoy
бы	would
бывало	would
бывалый	worldly-wise,experienced,habitual,familiar
бывать	to be at,to have,to visit,to happen/occur
бывший	former,late,quondam,ex-
быдло	hick,trash
бык	bull,ox,pier
былина	epic,bylina
былинка	blade of grass
былинный	epic
былой	former,past,bygone
быль	fact,true story
быстрина	rapid
быстро	fast,quickly,rapidly,with speed
быстроглазый	sharp-eyed
быстродействующий	fast-acting
быстрокрылый	swift-winged
быстроногий	swift-footed,nimble
быстрорастворимый	quick-dissolving
быстрорастущий	quick-growing
быстрорежущий	high-speed
быстрота	quickness,rapidity,speed
быстротечный	fleeting transient
быстроходный	high-speed,fast
быстрый	fast,quick,rapid,prompt
быт	life
бытие	being,existence,objective reality
бытовать	exist,occur,be current
бытовой	domestic
бытописатель	writer on matters of everyday life,painter of scenes of everyday life
быть	be
бытьё	life
бычий	adjective of бык
бычиться	scowl,be gloomy
бычок	bull-calf,bullhead,goby,cigarette-butt,fag-end
бьющийся	fragile,brittle
бэби	baby
бэкпэкер	backpacker
бэкпэкинг	backpack tourism
бювар	blotting-pad
бювет	pump-room
бюджет	budget
бюджетник	public servant
бюджетный	budgetary
бюллетенить	be on sick-leave
бюллетень	bulletin (brief report),ballot-paper,sick-leave certificate
бюргер	burgher
бюретка	burette,dropping glass
бюро	bureau,office,secretaire,writing-desk
бюрократ	bureaucrat,red-tapist,pedant
бюрократизм	bureaucratism,red tape
бюрократический	bureaucratic
бюрократия	bureaucracy
бюст	bust,bosom
бюстгальтер	brassiere,bra
бязь	coarse calico
бяка	gross
бёрдо	reed
в-пятых	fifthly,in the fifth place
в-третьих	thirdly,in the third place
в-четвёртых	fourthly,in the fourth place
вабик	lure,decoy
вабить	lure,decoy
вавилонский	babylonian
вага	weighing-machine,splinter-bar,swingletree,lever
вагина	vagina
вагон	carriage,coach,car,loads,lots
вагон-холодильник	refrigerator van
вагон-цистерна	tank-car
вагонетка	trolley,truck,car
вагонник	carriage-building worker
вагонный	adjective of вагон
вагоновожатый	tram-driver
вагоноопрокидыватель	railway truck tipper,car dumper
вагоностроение	carriage building
вагончик	caravan,trailer
вагранка	cupola,cupola-furnace
важнейший	major,paramount
важнецкий	great,swell
важничанье	airs and graces
важничать	put on airs,give oneself airs,pique oneself
важно	it is important,with an air of importance,with a consequential air,grandly
важность	importance,significance,self-importance,pompousness
важный	important,significant,grand,pompous
ваза	vase,bowl
вазелин	vaseline
вазелиновый	adjective of вазелин
вазон	flowerpot
вакансия	vacancy
вакантный	vacant
вакации	vacation
вакса	shoe polish,blacking
ваксить	polish,black
вакуум	vacuum
вакуум-насос	vacuum pump
вакханалия	bacchanalia,bacchanal
вакханка	bacchante,maenad
вакхический	bacchic
вакцина	vaccine
вакцинация	vaccination
вал	billow,roller,bank,rampart,swell
валандаться	hang about,loiter,dawdle,mess about
