the	тем
offensively	обидно
oscillation	Колебания,качание,качанием,качании,качаний,качанию,качания
oscillator	вибратор,вибратора,вибраторам,вибраторами,вибраторах,вибраторе
ota	Ота
outrun	обогнать,опередить,опережать,обгонять,обегать,обежать
overpass	виадук,путепровод,путепровода,путепроводам,путепроводами,путепроводах
pacemaker	экс,кардиостимулятор,электрокардиостимулятор
paging	Подкачка страниц
pampered	балован,балованна,балованно,балованный
pandering	потворств,потворства,потворствам,потворствами,потворствах,потворстве
paraphernalia	принадлежность
patagonia	патагония
pathogenic	болезнетворен,болезнетворна,болезнетворно,болезнетворный,патогенен,патогенна
pda	кпк
penang	Пинанг
pent	заключённый,запертый
perky	бойкий,боевит,боевита,боевито,боевитый,задорен
persevere	добиваться
pessimism	пессимизм,пессимизма,пессимизмам,пессимизмами,пессимизмах,пессимизме
petrochemical	нефтехимический
pfeiffer	Пфайфер
phishing	фишинг
plasticity	пластик,пластика,гибкость,пластикам,пластиками,пластиках,Пластичность
pocahontas	Покахонтас
polyethylene	полиэтилен,полиэтилена,полиэтиленам,полиэтиленами,полиэтиленах,полиэтилене
polymerase	Полимераза
pomp	помпа,помпе,помп,помпам,помпами,помпах
pooch	дворняжка
pooling	складчин,складчина,складчинам,складчинами,складчинах,складчине
posterity	потомства,потомстве,потомств,потомствам,потомствами,потомствах
posthumous	посмертно,посмертный,посмертен,посмертна
pounce	наброситься,набрасываться,обрушиваться
pragmatism	прагматизм,прагматизма,прагматизмам,прагматизмами,прагматизмах,прагматизме
priestess	жрица,жриц,жрицам,жрицами,жрицах,жрице
procrastination	волокита,волокит,волокитам,волокитами,волокитах,волоките,Прокрастинация
profane	осквернить,нечестивый,богохульный,нечестив,нечестива,нечестиво
prohibitive	воспретителен,воспретительна,воспретительно,воспретительный,запретителен,запретительна
prospecting	изыскания,изысканий,изыскание,изысканием,изыскании,изысканию
protestantism	протестантизм,протестантизма,протестантизмам,протестантизмами,протестантизмах,протестантизме
prune	обрезать,подстричь,подрезать,чернослив,подстригать,прореживать
putative	вероятный,мнимый,предположительный
pyjamas	пижаме,пижама,пижамах,пижам,пижамам,пижамами
quakers	Квакеры
quotient	часть,доля,частное
radiate	излучать
reaping	жатва,жатв,жатвам,жатвами,жатвах,жатве
recombination	Рекомбинация
rectum	Прямая кишка человека,ректум
redness	краснота,красноте,красноту,красноты
regressive	регрессивен,регрессивна,регрессивно,регрессивный
regrettable	прискорбно,прискорбный,прискорбен,прискорбна
rejoicing	ликование,ликования,ликованием,ликовании,ликований,ликованию
reprehensible	предосудителен,предосудительна,предосудительно,предосудительный
reprise	повторять,реприза
resentful	обижен,обижена,обидчивый,возмущённый,негодующий,обиженно
restorative	укрепляющее
retelling	пересказ,пересказа,пересказам,пересказами,пересказах,пересказе
rewatch	пересмотреть
rhubarb	ревень,ревенен,ревенна,ревенно,ревенный
rigby	Ригби
rojo	Рохо
romanians	Румыны
romanticism	романтик,романтизма,романтизм,романтизме,романтизмом,романтизму
rumbling	бурчание,бурчанием,бурчании,бурчаний,бурчанию,бурчания
sabbatical	творческий
sailboat	парусник
salinity	солёность
sancho	Санчо
scathing	едкий,хлёсткий,хлёстко,хлёсток
schubert	шуберт
scour	прочесать,отчистить,отдраивать,отскабливать,отчищать
scrooge	Скрудж,скряга,скупец
searing	выжигание,выжиганием,выжигании,выжиганий,выжиганию,выжигания
sedation	Седативный эффект
shakira	Шакира
shamelessly	бесстыдно
shanks	Шанкс
shearer	Ширер,стригале,стригалей,стригали,стригаль,стригалю,стригаля
shimmering	мерцание,мерцанием,мерцании,мерцаний,мерцанию,мерцания
shredder	шредер
siamese	сиамский
siena	Сиена
sienna	сиена,сиене,сиен,сиенам,сиенами,сиенах
silt	ил,ила,иле,илам,илами,илах
silvia	сильвия
simplex	симплекс
singaporean	сингапурец,сингапурка,сингапурский
sith	Ситхи
slingshot	рогатки,рогатка,рогаткам,рогатками,рогатках,рогатке
smuggler	контрабандист,контрабандиста,контрабандистами,контрабандистам,контрабандистах,контрабандисте
snob	сноб,зазнайка,сноба,снобам,снобами,снобах
snorting	фырканье,фырканий,фырканьем,фырканью,фырканья,фырканьям
sociable	контактный,компанейский,коммуникабелен,коммуникабельна,коммуникабельно,коммуникабельный
sodomy	Содомия,педерастии,педерастий,педерастию,педерастия,педерастиям,педерастиями
soiled	замусоленный,засален,засаленна,засаленно,засаленный,испачканный
soldering	впаек,впайка,впайкам,впайками,впайках,впайке
solubility	растворимостей,растворимости,растворимость,растворимостью,растворимостям,растворимостями
somers	Сомерс
sonnet	сонет,сонета,сонетам,сонетами,сонетах,сонете
soundly	здорово,здраво,обоснованно
spalding	Сполдинг
spectrometry	спектрометрии,спектрометрий,спектрометрию,спектрометрия,спектрометриям,спектрометриями
sprinkling	вспрыскивание,вспрыскиванием,вспрыскивании,вспрыскиваний,вспрыскиванию,вспрыскивания
spurious	ложный,внебрачный,незаконнорожденный,подделен,поддельна,поддельно
steampunk	Стимпанк
steed	конь,коня,коне,коней,кони,коню
stifling	спёрт,спёрта,спёрто,спёртый,удушлив,удушлива
stunted	хило,хил,малоросл,малоросла,малоросло,малорослый
stutter	заикание,заиканием,заикании,заиканий,заиканию,заикания
subspecies	подвид,подвида,подвидам,подвидами,подвидах,подвиде
substandard	некачественный,низкокачественный
subvert	разрушать,подрывать,низвергнуть,низвергать,ниспровергать,развращать
sunburn	загар,загара,загарам,загарами,загарах,загаре
swastika	свастика,свастик,свастикам,свастиками,свастиках,свастике
swerve	повернуть,отходить,поворачивать,блуждать,отклоняться,отклониться
symbolically	символически
talkative	болтливый,болтлив,болтлива,болтливо,говорлив,говорлива
talker	болтун,болтуна,болтунам,болтунами,болтунах,болтуне
talmud	талмуд,талмуда,талмуде,талмудам,талмудами,талмудах
talon	когти,Талон,коготь,когтей,когтем,когте,когтю
tarnished	подмочен,подмочена,подмоченный,подмочено,потускнел,потускнела
taunt	издеваться,издёвка,издёвкам,издёвками,издёвках,издёвке
taunton	Тонтон
tensile	эластичный,растяжим,растяжима,растяжимо,растяжимый
tether	предел,граница,привязать,привязи,привязывать,привязей
thayer	Тайер
thoughtfully	глубокомысленно
thump	бухать
thundering	гремуч,гремуча,гремуче,гремучий,громоподобен,громоподобна
tightness	тесноте,теснота,тесноту,тесноты,узостей,узости
tiller	Румпель,землепашец,землепашца,землепашцам,землепашцами,землепашцах,землепашце
topological	топологический
topple	валить,опрокинуть,валиться,опрокидывать,опрокидываться,опрокинуться
trapper	зверолов,зверолова,звероловам,звероловами,звероловах,зверолове
trickery	надувательств,надувательства,надувательствам,надувательствами,надувательствах,надувательстве
triton	тритона,тритон,тритонам,тритонами,тритонах,тритоне
trombone	тромбон
troubleshooting	Траблшутинг
trucker	дальнобойщик,дальнобойщика,дальнобойщикам,дальнобойщиками,дальнобойщиках,дальнобойщике
tun	бочке,бочка,бочек,бочках,бочками,бочкам
turban	тюрбан,тюрбане,тюрбана,тюрбанам,тюрбанами,тюрбанах
turkmenistan	туркменистан,туркмения
tusk	бивни,бивень,бивне,бивней,бивнем,бивню
tuttle	Таттл
tyrannical	деспотичный,тиранический
underscore	подчеркнуть,подчёркивание,подчёркивать
unforgiving	неумолимо,неумолима,неумолим,неумолимый
unplug	отключить,отключать,отсоединить,отсоединять
unusable	неиспользуемый
uruguayan	уругваец,уругвайка,уругвайский
utilise	использовать
valhalla	валгалла,Вальхалла
vandals	Вандалы
varanasi	банарас,бенарес,варанаси
vasquez	Васкес
ven	Вен
ventilator	вентилятор,вентилятора,вентиляторам,вентиляторами,вентиляторах,вентиляторе
vermin	вредитель,вредителей,вредители,вредителе,вредителем,вредителю
vertebrate	позвоночное,Позвоночные,позвоночный
vertebrates	позвоночные
wanker	идиот,придурка,придурками,дрочила,придуркам,дрочер
watermark	Водяной знак
waverly	Уэйверли
weathering	выветривание,выветриванием,выветривании,выветриваний,выветриванию,выветривания
wellesley	Уэлсли
whirl	вертеться,водоворот,виться,бурлить,взвихриться,вихриться
whitfield	Уитфилд
widget	штучка,штучек,штучками,штучках,штучкам,виджет
winona	Уинона
witt	Витт
workman	рабочий,рабочие,рабочего,рабочем,рабочему,мастеровой
wrigley	Ригли
yahweh	яхве
yearn	скучать,грустить,жаждать,изголодаться,истосковаться,стосковаться
yolanda	Иоланта
yolo	Йоло
yonder	там
zagreb	загреб
zucchini	Кабачок,кабачки,кабачка,кабачкам,кабачками,кабачках,кабачке
ablaze	горящий,пылающий,сверкающий,пылкий,возбуждённый
abysmal	отвратительный,бездонный
addams	Аддамс
adriatic	адриатический
aerodynamics	аэродинамик,аэродинамика,аэродинамикам,аэродинамиками,аэродинамиках,аэродинамике,Газодинамика
agra	агра
aguilar	Агилар
albright	Олбрайт
alkali	щелочей,щелочям,щелочями,щелочях,щёлочи,щёлочь
allusion	намёк,намёка,аллюзия,намёкам,намёками,намёках
altruism	альтруизм,альтруизма,альтруизмам,альтруизмами,альтруизмах,альтруизме
amar	Амар
amiss	неладно
amphetamine	амфетамин
anaesthetic	наркоз,анестезиологический,анестезирующ,анестезирующа,анестезирующе,анестезирующий
andover	Андовер
animator	художник-мультипликатор,аниматор,оживитель,оживительница
anno	Анно
anomalous	аномальный,неправильна,аномально,аномален,аномальна,неправилен
antidepressant	Антидепрессанты,антидепрессант,антидепрессантах,антидепрессантами,антидепрессанта,антидепрессантам,антидепрессанте
antioxidant	антиокислитель,антиоксидант,Антиоксиданты
aorta	аорта,аорте,аорт,аортам,аортами,аортах
apostasy	богоотступничеств,богоотступничества,богоотступничествам,богоотступничествами,богоотступничествах,богоотступничестве,Вероотступничество
aram	Арам
argyll	Аргайл
artistically	художественно
aruba	аруба
ashram	ашрам
assemblage	сбор,сбора,сборе,сборах,сборам,сборами
astor	Астор
astounded	изумлённый,поражённый,удивлённый
attentions	ухаживания,ухаживание,ухаживаний,ухаживанием,ухаживании,ухаживанию
audiovisual	аудиовизуальный
austrians	Австрийцы
awry	кривой,косой,криво,косо,искажённый,искривлённый
ayatollah	аятолла
baa	бэ-бэ,блеяние,блеять
baht	бат
barrington	Баррингтон
barrymore	Берримор
bask	нажариваться
batista	Батиста
beowulf	Беовульф
beret	берет
bilbao	Бильбао
bloomsbury	Блумсбери
bogey	богги
bolsheviks	Большевики
bookshelf	этажерка
brainstorming	Метод мозгового штурма
brandenburg	Бранденбург
bronchitis	бронхит,бронхита,бронхитам,бронхитами,бронхитах,бронхите
broome	Брум
brotherly	братский
bugle	горн,горна,горне,горнам,горнами,горнах
bulgarians	Болгары
bumblebee	шмель,Шмели
callaghan	Каллаган
campos	Кампуш
carboniferous	Каменноугольный период,каменноугольный
caress	ласкать,ласка,ласк,голубить,ласкам,ласками
catechism	катехизис,катехизиса,катехизисам,катехизисами,катехизисах,катехизисе
categorize	классифицировать,категоризировать
causality	Причина,причинностей,причинности,причинность,причинностью,причинностям,причинностями
censure	замечание,выговор,нареканий,нарекание,нареканием,нарекании
cern	ЦЕРН
cesare	Чезаре
chatty	болтливый
chewy	жёсткий
childlike	детский,ребяческий,ребячлив,ребячлива,ребячливо,ребячливый
chiropractic	Хиропрактика
chopin	шопен
chopsticks	Палочки для еды
christened	крещённый
chug	глоток,допить,пыхтеть,пыхтение
citizenry	граждане
clapper	клакёр,клакёра,клакёрам,клакёрами,клакёрах,клакёре
clarion	рожками,рожка,рожке,Кларион,рожек,рожкам,рожках
claudius	Клавдий
cleft	расселин,расселина,расселинам,расселинами,расселинах,расселине
clump	группа,группе,групп,группами,группам,группах
cmos	КМОП
cognac	коньяк,коньякам,коньяками,коньяках,коньяке,коньяки
colette	Колетт
colloquial	разговорный,нелитературный,разговорен,разговорна,разговорно
combatant	воин,боец,строевой,Комбатант
commie	коммуняка,комуняка
communicative	общительный,коммуникативен,коммуникативна,коммуникативно,коммуникативный
concealer	консилер,укрыватель
concealment	сокрытие,сокрытии,сокрытия,сокрытием,сокрытий,сокрытию
concentric	концентрический
confidant	наперсник,наперсника,наперсникам,наперсниками,наперсниках,наперснике
confine	предел,граница,лимит,ограничить,ограничивать
confiscate	изъять,конфисковать,изымать
congregate	собирать,собираться,слетаться,слететься
congresswoman	конгрессвумен
connotation	подтекст,коннотация,созначение
consecutively	последовательно
constructor	конструктор,конструктора,конструкторам,конструкторами,конструкторах,конструкторе
controllable	управляемый,контролируемый
coolidge	Кулидж
copycat	подражатель,имитатор
cornea	роговица,роговиц,роговицам,роговицами,роговицах,роговице
corroborate	подтвердить,подкрепить,подтверждать,подкреплять
crichton	Крайтон
crumpled	жёваный,изжёван,изжёвана,изжёванный,изжёвано,измят
cur	ублюдка,ублюдкам,ублюдками,дворняга,ублюдке,ублюдках
curd	творог,творожный,Калье,творожен,творожна,творожно
cursory	беглый
cuthbert	Кутберт Линдисфарнский
daimler	Даймлер
damper	вьюшек,вьюшка,вьюшкам,вьюшками,вьюшках,вьюшке,Демпфер
dangle	болтать,висеть,болтаться,качать,волочиться,вихляться
dearth	голода,голод,голоду,голодом,дефицит,голоде
decompression	декомпрессия,декомпрессии,декомпрессию,декомпрессий,декомпрессиям,декомпрессиями
delilah	далила
delinquency	правонарушение,правонарушения,правонарушений,правонарушении,правонарушением,правонарушению
dependant	иждивенец,иждивенка,иждивенкам,иждивенками,иждивенках,иждивенке
depository	склад,сокровищница,депозитарий,сокровищниц,сокровищницам,сокровищницами
dermatology	дерматологии,дерматологий,дерматологию,дерматология,дерматологиям,дерматологиями
detachable	отделяемый,отрезной,отрывной,отъёмный
deuce	двойка,двоек,Deuce,двойкам,двойками,двойках,двойке
devotee	подвижник,подвижника,подвижникам,подвижниками,подвижниках,подвижнике
disfigured	изуродовано,изуродован,изуродована,изуродованный,истерзан,истерзанна
disprove	опровергнуть,опровергать
disqualify	дисквалифицировать
divulge	разглашать,огласить,оглашать,разгласить
docile	покорный,послушный,понятливый
dogmatic	догматический,начётнический
dominica	доминика
dona	донья,донью,доньи,донье,доний,доньям
dram	драм,драхм,драхма,драхмам,драхмами,драхмах
dribbling	слюнявый,Дриблинг,слюняв,слюнява,слюняво
dryness	сухость,сухости,сухостей,сухостью,сухостям,сухостями
dyeing	докрашивать,крашение,крашением,крашении,крашению,крашения
edifice	здание,здания,здании,зданий,зданием,зданию
ejaculation	Эякуляция,семяизвержение,семяизлияние,семяизлиянием,семяизлиянии,семяизлияний,семяизлиянию
embed	вкладывать,вставлять,вделывать
embossed	выпукл,выпукла,выпукло,выпуклый
emulator	Эмуляция
englewood	Энглвуд
environmentalist	зелёный,эколог
ephesians	ефесянам
epileptic	эпилептик,припадочен,припадочна,припадочно,припадочный,эпилептика
eraser	Стирательная резинка,ластик,ластика,ластикам,ластиками,ластиках,ластике
erasure	Erasure,подчистка,подчисткам,подчистками,подчистках,подчистке,подчистки
ethyl	этил,этила,этилам,этилами,этилах,этиле
etymology	этимология
euphemism	эвфемизм
evanston	Эванстон
everglades	Эверглейдс
exacerbate	обострять,ухудшать,обострить
exasperated	сердитый,раздражена,раздражён,разгневанный,раздражённый,раздражено
excalibur	экскалибур
expatriate	изгнать,изгонять,изгнанник,экспат,экспатриант,экспатриантка,Экспатриация
facelift	подтяжка,подтяжках,подтяжек,лифтинг,подтяжкам,подтяжками
faceted	гранён,гранёна,гранёно,гранёный
facilitation	облегчение,облегчением,облегчения,облегчении,облегчений,облегчению
fairway	фарватер
falsehood	вымысел,вымысла,вымыслам,вымыслами,вымыслах,вымысле
farrow	опорос,опороса,опоросам,опоросами,опоросах,опоросе
favourably	благосклонно,благожелательно
fayette	Фейетт
felton	Фелтон
fibrous	волокнист,волокниста,волокнисто,волокнистый,волосист,волосиста
firefighting	пожаротушение
firestorm	Огненный смерч
fitzroy	Фицрой
flamenco	фламенко
flange	закраин,закраина,закраинам,закраинами,закраинах,закраине,Фланец
flaunt	выставлять,щеголять,кокетничать,бравировать,дефилировать
flier	летун,летуна,летунам,летунами,летунах,летуне
flinch	вздрагивание,вздрагивать,вздрогнуть,дрогнуть,передёргиваться,передёрнуться
florentine	флорентиец,флорентийский
folsom	Фолсом
fontana	Фонтана
forefathers	дед,деда,деде,дедам,дедами,дедах
formalities	формализм,формализма,формализмам,формализмами,формализмах,формализме
franciscan	Францисканцы
frankel	Франкель
freeport	Фрипорт
freya	фрейя
friendliness	дружелюбие,дружелюбия,дружелюбием,дружелюбии,дружелюбий,дружелюбию
frisk	резвиться
fundamentalism	фундаментализм
gabon	габон
gad	гад,шляться
ganges	ганг
gaseous	газовый,газообразен,газообразна,газообразно,газообразный
gaz	Горьковский автомобильный завод
gdr	гдр
geller	Геллер
girth	обхват,обхвата,обхватам,обхватами,обхватах,обхвате
godmother	восприемниц,восприемница,восприемницам,восприемницами,восприемницах,восприемнице
gothenburg	гётеборг
governorship	губернаторств,губернаторства,губернаторствам,губернаторствами,губернаторствах,губернаторстве
gratis	бесплатно,даром,бесплатный,безвозмездно,безвозмездный,даровой
gratuitous	безвозмездно,бесплатна,безвозмезден,безвозмездна,безвозмездный,бесплатен
guadalupe	Гуадалупе
guardianship	опеке,опека,опек,опекам,опеками,опеках
guatemalan	гватемалец,гватемалка,гватемальский
guillaume	Гийом
gulp	глотать,глотка,глотке,глотками,глоткам,глотках
gypsum	гипс,гипсовать
haggard	дикий,измождённый,испитой,неприручённый,поношен,поношенна
hardwick	Хардвик
hasten	спешить,торопиться,поторопиться,поспешить,торопить,поторопить
heady	пряный,опьяняющий,прян,пряна,пряно,хмелен
hellish	чёртов,адский,чертовый
hemoglobin	гемоглобин
honeycomb	Пчелиные соты,свищ,свища,свищам,свищами,свищах,свище
hopelessness	безнадёжности,безнадёжность,безнадёжностью,бесперспективностей,бесперспективности,бесперспективность
hotly	жарко,горячо
hourglass	Песочные часы
householder	домохозяек,домохозяев,домохозяева,домохозяевам,домохозяевами,домохозяевах
huber	Губер
hubris	высокомерие,Гибрис
humanly	по-человечески
hungarians	Венгры
hurrah	слава,ура
husbandry	земледелие,землепашеств,землепашества,землепашествам,землепашествами,землепашествах
hutchison	Хатчисон
hygienic	гигиенично,гигиеничен,гигиенический,гигиенична,гигиеничный
hypothetically	гипотетически
ibuprofen	ибупрофен
idiocy	идиотизм,идиотизма,идиотизмам,идиотизмами,идиотизмах,идиотизме
idiosyncratic	персональный,идиосинкратический
idly	лениво,праздно
ignatius	игнатий
immerse	погрузиться,погрузить,погружаться,окунуть,окунать,погружать
immobile	неподвижный
impair	ослаблять,расшатать,расшатывать
impassioned	страстно,страстный,страстен,страстна
impersonal	безличный,обезличенный,отчуждённый
incontinence	недержание,недержанием,инконтиненция,недержании,недержаний,недержанию
indemnity	возмещение,возмещения,возмещении,возмещением,возмещений,возмещению,Индемнитет
inhaler	ингалятор,ингалятора,ингаляторам,ингаляторами,ингаляторах,ингаляторе
interoperability	совместимость,интероперабельность,переносимость
intersex	интерсексуал,интерсексуалка,интерсексуальность,интерсексуальный
ironed	выглаженный
isaacs	Айзекс
jacuzzi	джакузи
kampala	кампала
kharkiv	харьков
kinetics	кинетик,кинетика,кинетикам,кинетиками,кинетиках,кинетике
kohler	Колер
labourer	рабочий,рабочие,рабочего,рабочем,рабочим,рабочему
lacquer	лак,лака,лакам,лаками,лаках,лаке,Нитроэмали
lakeland	Лейкленд
langer	Лангер
langford	Лэнгфорд
lawler	Лоулер
layman	любитель,дилетант,мирян,мирянам,мирянами,мирянах
layup	Лэй-ап
levelling	выравнивание,выравниванием,выравнивании,выравниваний,выравниванию,выравнивания,Нивелирование
libra	весы
lili	лилии,лилия,лилий,лилию,лилиями,лилиям
lilith	Лилит
liquefied	сжижен,сжижена,сжиженный,сжижено
livermore	Ливермор
luciano	Лучано
magdalene	магдалина
magnification	увеличение,увеличения,увеличении,увеличению,увеличением,увеличений
mailer	куверт,куверта,кувертам,кувертами,кувертах,куверте
malevolent	зловредный,зложелателен,зложелательна,зложелательно,зложелательный,злопыхательский
manchuria	маньчжурия
mano	Мано
matrimony	брак,брака,браке,браках,бракам,браками
mausoleum	мавзолей,мавзолее,мавзолеев,мавзолеем,мавзолеи,мавзолею
mechanized	механизирован,механизированна,механизированно,механизированный,мотомеханизированный
melodramatic	театральный,напыщенный,мелодраматический,мелодраматичный
memento	сувенир
mending	поправка,поправки,поправке,поправками,поправкам,поправках
mercilessly	нещадно
mesopotamia	междуречье,месопотамия
metallurgy	металлургии,металлургий,металлургию,металлургия,металлургиям,металлургиями
meteorologist	метеоролог,метеоролога,метеорологам,метеорологами,метеорологах,метеорологе
microprocessor	микропроцессор
midwifery	акушерства,акушерств,акушерствам,акушерствами,акушерствах,акушерстве
milieu	антураж,антуража,антуражам,антуражами,антуражах,антураже
minogue	Миноуг
misha	Олимпийский Мишка
modus	модус,модуса,модусам,модусами,модусах,модусе
mogadishu	могадишо,могадишу
mombasa	Момбаса
monsignor	монсеньор
moonshine	самогон
mull	размышлять,обдумывать
multitasking	многозадачность,многопрофильность
murmur	бормотание,бормотать,журчание,журчанием,журчании,журчаний
mushy	слащавый
mutt	ублюдок,полукровка,помесь,дворняжка,метис,метиска
mysore	майсур
nachos	Начос
nair	Наиры
nani	Нани
narnia	нарния
naturalistic	натуралистический
nauru	науру
necrosis	некроз,некроза,некрозам,некрозами,некрозах,некрозе
nepotism	кумовства,кумовстве,кумовство,кумовством,кумовству,непотизм
normality	нормальности,нормальность,нормальностью
nth	энный
o'shea	О’Ши
oblong	вытянутый,продолговат,продолговата,продолговато,продолговатый,удлинён
ocular	глазной,окуляр,окуляра,окулярам,окулярами,окулярах
onerous	обременительно,обременителен,обременительна,обременительный,тягостен,тягостна
ontology	онтологии,онтологий,онтологию,онтология,онтологиям,онтологиями
operatic	оперный,оперен,оперна,оперно
ophthalmology	офтальмологии,офтальмологию,офтальмология
oppenheimer	Оппенгеймер
oratory	красноречие,красноречия,красноречием,красноречии,красноречий,красноречию
orbiter	Орбитальный аппарат
orca	кит-убийца,касатка,косатка
origami	Оригами
orthopaedic	ортопедический
osage	Осейдж
osman	Осман
oust	выгнать,изгнать,выгонять,вытеснить,изгонять,вытеснять
ovary	Яичники,завязей,завязи,завязь,завязью,завязям,завязями
overseer	надзиратель,надзирателем,надзиратели,надзирателей,надзирателе,надзирательниц
pained	огорчена,огорчён,обиженный,огорчено,огорчённый
painstaking	аккуратно,аккуратный,аккуратен,аккуратна,исполнителен,исполнительна
pall	покров,пелена,покрова,покровам,покровами,покровах
patchy	клочковат,клочковата,клочковато,клочковатый
pecan	пекан,Пекан обыкновенный
peeping	пискотне,пискотней,пискотни,пискотню,пискотня,пискотням
pembrokeshire	Пембрукшир
pereira	Перейра
permeability	проницаемостей,проницаемости,проницаемость,проницаемостью,проницаемостям,проницаемостями
pershing	Першинг
pewdiepie	Феликс,Чельберг
pharmacological	фармакологический
pinocchio	пиноккио
pique	досада,пике,пикеен,пикейна,пикейно,пикейный
plano	Плано
playmaker	Плеймейкер
plumage	оперение,оперением,оперении,оперений,оперению,оперения
plumb	лот,лота,лотам,лотами,лотах,лоте
politeness	вежливости,вежливость,учтивость,вежливостью
pomegranate	граната,гранат,Гранат обыкновенный,гранатами,гранатам,гранатах,гранате
poof	голубой
possum	поссум
premeditated	намерен,намеренно,намеренна,намеренный,преднамеренен,преднамеренна
preset	Пресет
priestly	жреческий,священнический
procuring	добывание,добыванием,добывании,добываний,добыванию,добывания
prodigal	мот,мота,мотам,мотами,мотах,моте
prodigious	огромный,удивительный,изумительный,громадный,поразительный,непомерный
profess	исповедовать
promiscuous	неразборчивый,распутный,разнородный,разношёрстный,распущенный
propellant	Метательный заряд
proportionally	пропорционально
pusher	толкач,толкача,толкачам,толкачами,толкачах,толкаче
quixote	донкихот,донкихота,донкихотам,донкихотами,донкихотах,донкихоте
randle	Рэндл
ratify	одобрить,скрепить,одобрять,конфирмовать,ратифицировать,скреплять
recast	переливать
recluse	затворник,затворника,затворникам,затворниками,затворниках,затворнике,Затворники
reformist	реформист,реформистский
refreshment	подкрепление,закуска,подкреплением,подкреплении,подкреплений,освежение
rehearse	репетировать,спеваться,спеться
repellent	отвратительный,непроницаемый,отталкивающе,отталкивающий,отталкивающ,отталкивающа
replaceable	заменим,заменима,заменимо,заменимый,сменяем,сменяема
reproach	позор,корить,попрекать,пенять,попрекнуть,попрёк
reschedule	перенести
resuscitation	реанимирование
retractable	втягивающийся,убирающийся
retroactive	Ретроактивность
revocation	отмена,отмене,отмен,отменам,отменами,отменах
ribbed	Ribbed,ребрист,ребриста,ребристо,ребристый,рубчат,рубчата
richland	Ричленд
ronda	Ронда
rosalind	розалинда
rosberg	Росберг
rwandan	руандиец,руандийка,руандский
sagging	обвисл,обвисла,обвисло,обвислый,прогиб,прогиба
sander	Шлифовальные машины
sarcastically	саркастически
sardinia	сардиния
saskatoon	саскатун
scalable	масштабируемый,расширяемый
scalar	скалярный
scepticism	скептицизм,скептицизма,скептицизмам,скептицизмами,скептицизмах,скептицизме
schaefer	Шефер
schoolhouse	школе,школа,школ,школах,школам,школами
schwarz	Шварц
seabed	Океанское дно
seclusion	затвор,затвора,затворам,затворами,затворах,затворе
selenium	селена,селен,селенам,селенами,селенах,селене
senna	Сенна,пузырник,пузырника,пузырникам,пузырниками,пузырниках,пузырнике
sensibly	умно,разумно,здраво,трезво,дельно
sequestration	арест,ареста,аресте,арестах,арестам,арестами,Секвестр
serenade	серенада,серенад,серенадам,серенадами,серенадах,серенаде
sewell	Сьюэлл
shoal	банка,банке,банки,банках,банкам,банками,Побочень
sideshow	Сайдшоу
simba	Симба
skimmed	обезжиренный
slasher	Слешер
slaughterhouse	бойня,резня,мясорубка,скотобойне,скотобойни,Скотобойня,скотобойнь
sledgehammer	кувалда
slideshow	слайд-шоу
slimming	похудение,худение
slovenian	словенский
smartly	шикарно,шибко,бойко
smite	сразить,сражать
somatic	соматический
soulmate	половинка,половинки,половинке,половинкам,половинками,половинках
spiteful	ехиден,ехидна,ехидно,ехидный,злобен,злобна
splendour	благолепие,благолепием,благолепии,благолепий,благолепию,благолепия
splurge	транжирить,хлынуть
spotty	прыщавый,прыщав,прыщава,прыщаво,пятнист,пятнисто
stabilizer	стабилизатор,стабилизатора,стабилизаторам,стабилизаторами,стабилизаторах,стабилизаторе
stearns	Стернс
steeply	круто
stinger	жало,стингер
stingray	скат,Myliobatoidei,хвостокол
stipulation	клаузул,клаузула,клаузулам,клаузулами,клаузулах,клаузуле
stonehenge	стоунхендж
straightening	выпрямление,выпрямлением,выпрямлении,выпрямлений,выпрямлению,выпрямления
subconsciously	подсознательно
subcontinent	субконтинент,субконтинента,субконтинентам,субконтинентами,субконтинентах,субконтиненте
subsidize	субсидировать
substation	подстанции,подстанций,подстанцию,подстанция,подстанциям,подстанциями
subtropical	субтропический
sufferer	страдалец,болящ,боляща,боляще,болящий,страдалиц
sulfide	сульфид,Неорганические сульфиды
surfacing	одежда,одежде,одеждах,одежд,одеждам,одеждами
swarms	гибели,гибель,гибелью,гибелей,гибелям,гибелями
sycamore	платан,сикомор,сикомора,сикоморам,сикоморами,сикоморах
synthesize	синтезировать
